		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
27/06/12	1:30 a	21.6	21.6	21.6	53	11.6	0.0	SW	0.00	0.9	SW	21.6	20.9	20.9	19.3	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.023	26.2	40	11.5	25.7	0.00	228	1	100.0	10
27/06/12	1:40 a	21.4	21.6	21.3	54	11.7	0.0	SSW	0.00	0.9	SSW	21.4	20.8	20.8	19.2	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.022	26.1	40	11.5	25.7	0.00	216	1	94.7	10
27/06/12	1:50 a	21.2	21.3	21.1	54	11.5	0.4	SSW	0.27	1.8	SSW	21.2	20.4	20.4	18.8	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.020	26.0	40	11.4	25.6	0.00	140	1	61.4	10
27/06/12	2:00 a	20.9	21.1	20.9	55	11.6	0.0	SSW	0.00	2.2	SSW	20.9	20.3	20.3	18.7	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.018	25.9	40	11.3	25.4	0.03	227	1	99.6	10
27/06/12	2:10 a	20.8	20.9	20.7	56	11.7	0.0	---	0.00	0.0	---	20.8	20.2	20.2	18.6	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.017	25.8	40	11.2	25.3	0.00	228	1	100.0	10
27/06/12	2:20 a	20.7	20.7	20.6	56	11.6	0.0	SSW	0.00	0.9	SSW	20.7	20.2	20.2	18.6	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.017	25.7	40	11.1	25.2	0.00	228	1	100.0	10
27/06/12	2:30 a	20.6	20.6	20.5	57	11.8	0.0	SSW	0.00	0.9	SSW	20.6	20.1	20.1	18.5	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.016	25.6	40	11.0	25.1	0.00	228	1	100.0	10
27/06/12	2:40 a	20.4	20.5	20.4	57	11.6	0.0	---	0.00	0.0	---	20.4	20.0	20.0	18.4	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.015	25.6	40	11.0	25.1	0.00	228	1	100.0	10
27/06/12	2:50 a	20.4	20.4	20.4	57	11.6	0.0	---	0.00	0.0	---	20.4	20.0	20.0	18.4	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.015	25.5	41	11.3	25.1	0.00	228	1	100.0	10
27/06/12	3:00 a	20.4	20.4	20.3	57	11.6	0.0	S	0.00	0.9	S	20.4	19.9	19.9	18.3	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.014	25.4	41	11.2	24.9	0.00	228	1	100.0	10
27/06/12	3:10 a	20.3	20.3	20.3	57	11.5	0.0	S	0.00	0.9	S	20.3	19.9	19.9	18.3	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.014	25.3	41	11.1	24.8	0.00	228	1	100.0	10
27/06/12	3:20 a	20.2	20.3	20.2	57	11.4	0.0	S	0.00	0.9	S	20.2	19.8	19.8	18.2	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.013	25.2	41	11.0	24.8	0.00	228	1	100.0	10
27/06/12	3:30 a	20.1	20.2	20.1	57	11.3	0.0	S	0.00	0.9	S	20.1	19.8	19.8	18.2	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.012	25.2	41	11.0	24.7	0.00	228	1	100.0	10
27/06/12	3:40 a	20.0	20.1	19.9	58	11.5	0.0	---	0.00	0.0	---	20.0	19.7	19.7	18.1	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.012	25.1	41	10.9	24.7	0.00	228	1	100.0	10
27/06/12	3:50 a	19.9	19.9	19.9	58	11.4	0.0	---	0.00	0.0	---	19.9	19.7	19.7	18.1	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.011	25.1	42	11.3	24.7	0.00	228	1	100.0	10
27/06/12	4:00 a	19.9	19.9	19.9	59	11.6	0.0	---	0.00	0.0	---	19.9	19.7	19.7	18.1	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.011	25.1	42	11.3	24.7	0.00	228	1	100.0	10
27/06/12	4:10 a	19.8	19.9	19.8	59	11.6	0.0	---	0.00	0.0	---	19.8	19.6	19.6	17.9	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.010	25.1	42	11.2	24.7	0.00	214	1	93.9	10
27/06/12	4:20 a	19.8	19.8	19.8	60	11.8	0.0	---	0.00	0.0	---	19.8	19.6	19.6	17.9	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.010	25.0	43	11.5	24.7	0.00	156	1	68.4	10
27/06/12	4:30 a	19.7	19.8	19.7	61	12.0	0.0	---	0.00	0.0	---	19.7	19.6	19.6	17.9	838.9	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.010	25.0	43	11.5	24.7	0.00	228	1	100.0	10
27/06/12	4:40 a	19.6	19.7	19.6	61	11.9	0.0	---	0.00	0.0	---	19.6	19.4	19.4	17.8	838.9	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.009	24.9	43	11.4	24.6	0.00	228	1	100.0	10
27/06/12	4:50 a	19.6	19.6	19.5	63	12.3	0.0	---	0.00	0.0	---	19.6	19.4	19.4	17.9	839.2	0.00	0.0	0	0.00	0	0.8	0.06	0.9	0.000	0.008	24.9	43	11.4	24.6	0.00	228	1	100.0	10
27/06/12	5:00 a	19.4	19.5	19.3	65	12.6	0.0	---	0.00	0.0	---	19.4	19.4	19.4	17.8	839.2	0.00	0.0	0	0.00	0	0.8	0.06	0.8	0.000	0.007	24.8	44	11.7	24.5	0.00	228	1	100.0	10
